"Column0","ÝLAN ADI","MAHALLE","FÝYAT","NET(m²)","BRÜT(m²)","ODA-SALON SAYISI","ODA SAYISI","SALON SAYISI","BANYO SAYISI","FOTOÐRAF SAYISI","BÝNA KAT SAYISI","BULUNDUÐU KAT","YAPI DURUMU","ISITMA","BÝNA YAÞI","AÝDAT","KÝRA GETÝRÝSÝ","Metrekare Baþýna Fiyat"
46,"ERENKÖY'DE YENÝ BÝNADA 230 m² NET 4+2 DUBLEKS DAÝRE","Erenköy",7.144574207609616,230,290,"4+2",4,2,3,32,"9","9","Ýkinci El","Kombi (Doðalgaz)","4",300,,0.03106336612004181
47,"Kadýköy de Yatýrýma Uygun Teraslý Satýlýk 4+1","Osmanaða",6.6180480967120925,120,160,"4+1",4,1,2,30,"5","5","Ýkinci El","Kalorifer (Doðalgaz)","21-25 ",150,,0.055150400805934106
48,"SUADÝYE-ÇATALÇEÞME SAHÝLE 3. BÝNADA 3 YILLIK 120M2 BALKONLU LÜKS","Bostancý",6.994537104298496,90,120,"3+1",3,1,2,24,"10-20 ","1","Sýfýr","Kombi (Doðalgaz)","3",,,0.07771707893664996
49,"Caddebostan Baðdat Caddesi 1. Paralel Sokak 4+1 Satýlýk","Caddebostan",7.096910013008055,145,180,"4+1",4,1,2,22,"10-20 ","13","Sýfýr","Merkezi Sistem","2",0,0,0.04894420698626245
50,"Fenerbahçe Marinada Satýlýk Daire Havuzlu Güvenlikli Site Ýçi","Fenerbahçe",7.440121603187802,160,205,"4+1",4,1,2,29,"4","2","Ýkinci El","Merkezi Sistem","6-10 ",,,0.046500760019923766
51,"GÖSTEPEDE SIFIR DAÝREDE 3+1 NET 95M2","Göztepe",6.869231719730975,95,125,"3+1",3,1,1,30,"7","3","Ýkinci El","Kombi (Doðalgaz)","0",,,0.07230770231295763
52,"Ç.HAVUZLAR BAÐDATA YAKIN 200M2 KATTA TEK 2 BALKONLU ULTRA LÜKS","Göztepe",7.039414119176136,160,200,"4+1",4,1,3,20,"10","1","Ýkinci El","Merkezi Sistem","21-25 ",,,0.04399633824485085
53,"BOSTANCI MÝNÝBÜSE YAKIN 95M2 KOMBÝLÝ OTOPARKLI LÜKS","Bostancý",6.511883360978874,75,95,"2+1",2,1,1,14,"8","Yüksek Giriþ","Ýkinci El","Kombi (Doðalgaz)","26-30 ",,,0.08682511147971833
54,"Þaþkýnbakkal Baðdat Caddesi 2. Bina Balkonlu Masrafsýz","Suadiye",6.755493728415119,85,100,"2+1",2,1,2,19,"4","2","Ýkinci El","Kombi (Doðalgaz)","36-40 ",0,0,0.07947639680488375
55,"Ethemefendi Caddesi Teraslý Dubleks Daire","Erenköy",7.254064452914337,220,260,"4+2",4,2,4,27,"9","9","Ýkinci El","Yerden Isýtma","6-10 ",0,0,0.032973020240519714
56,"Suadiye Sahil Bahçe Kullanýmlý Masrafsýz Satýlýk","Suadiye",6.9661417327390325,100,135,"3+1",3,1,2,30,"4","Bahçe katý","Ýkinci El","Merkezi Sistem"," 31-35",0,0,0.06966141732739033
57,"ERENKÖY'DE GELECEÐÝNÝZE YATIRIM YAPIN","Erenköy",6.954242509439323,140,160,"3+1",3,1,1,23,"10-20 ","13","Ýkinci El","Merkezi Sistem","31-35 ",,,0.049673160781709455
58,"Fenerbahçe Kalamýþ Marina Lebiderya Manzaralý 4+1","Fenerbahçe",7.3979400086720375,175,241,"4+1",4,1,2,25,"10-20 ","7","Ýkinci El","Merkezi Sistem","4",0,0,0.04227394290669736
59,"SUADÝYE KAPTAN ARÝF SOKAKTA SÝTE ÖZELLÝKLÝ 165 M2 DAÝRE","Suadiye",7,135,165,"4+1",4,1,2,3,"10-20 ","3","Ýkinci El",,"5",900,,0.05185185185185185
60,"Baðdat Cad. Çok Yakýn Güvenlik Binada Satýlýk Daire","Suadiye",7.107209969647868,180,190,"4+1",4,1,2,10,"10-20 ","6",,"Merkezi Sistem","11-15 ",0,0,0.03948449983137704
61,"TEK YETKÝLÝYÝZ.CENTURY 21.SAHRA'DAN 5 YILLIK BÝNADA 105M2NET 3+1","Kozyataðý",6.883661435153617,105,136,"3+1",3,1,3,34,"10","7","Ýkinci El","Merkezi Sistem","5",470,17,0.06555868033479635
62,"Fenerbahçe Yeni Binada 3+2 Dubleks Satýlýk Daire","Fenerbahçe",7.264817823009536,200,240,"3+2",3,2,3,39,"8","8",,"Klima","4",0,0,0.03632408911504768
63,"TURYAP GÖZTEPE DEN BOSTANCI GÖSTERÝ MERKEZÝ 3+1 SATILIK DAÝRE","Bostancý",6.744292983122676,95,130,"3+1",3,1,1,31,"10-20 ","3","Ýkinci El","Kombi (Doðalgaz)","4",0,0,0.07099255771708081
64,"ÇÝFTEHAVUZLAR'DA 155M2 GÜVENLÝKLÝ 3 BALKONLU ULTRA LÜKS","Göztepe",6.9177680024477555,120,155,"3+1",3,1,2,12,"10-20 ","4","Ýkinci El","Merkezi Sistem","31-35 ",,,0.05764806668706463
65,"KOZYATAÐINDA SAKÝN SOKAKTA BAKIMLI 2.KAT KOMBÝLÝ 3+1 DAÝRE","Kozyataðý",6.59659709562646,110,135,"3+1",3,1,1,34,"8","2","Ýkinci El","Kombi (Doðalgaz)","31-35 ",,,0.059969064505695086
66,"KALAMIÞ WYNDHAM OTELE YAKIN SIFIR 135M2 2 BALKONLU LÜKS","Fenerbahçe",7.0334237554869485,105,130,"3+1",3,1,2,22,"10","1","Sýfýr","Kombi (Doðalgaz)","0",,,0.06698498814749475
